Title,Additional Info,Description,Ref,TypeOfContract,Cpv(main),Cpv(additional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maintenance of Journey Planning Kiosks and Broadcast Display Screens.	Journey Planning Kiosks and Broadcast Display Screens contract is essential for the ongoing operations and maintenance of equipment already in place via our previous 4 year framework agreement for (Supply", Installation, Commissioning and Maintenance of Hourney Planning Kiosks and Broadcast Display Screens with Regional Services Ltd (RSL)).The previous Framework saw RSL Install Journey planning kiosks and prodcast display screens throughout the county at key public transport interchanges. The hardware and software operating system is bespoke to RSL," the procurement of another provider to maintain and operate the RSL system would require the purchase of an additional operating system and additional hardware operating components which may not work with the existing equipment.Single Supplier Agreement is sought.	ET07120	SERVICES	48813200	48813100",48813000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Environmental Chamber.	The University of Sheffield is out to tender on behalf of the Department of Mechanical Engineering for an Environmental Chamber testing facility.The closing date for return of Pre-qualification questionnaires is Tuesday 5.1.2016 at 12:00 noon (UK time).The Laboratory for Verification and Validation (LVV) will be a new facility providing a unique capability for vibration and acoustic testing of substantial structures", sub-structures and components under environmentally realistic conditions. The environmental chamber within the LVV will be unique due to its size and versatility in environmental and vibrational experimental capabilities. The central component will be the large volume walk-in complex with the ability to control temperature (-55 ¬?C to 50 ¬?C), humidity (10-80 %), wind (0-50 mph) and to simulate rain and, potentially, snow. Facilities required in the Environmental Chamber include a a 3-axis hydraulic shake table with 2 further, mobile single-axis electrodynamic shaker.Due to the nature of the chamber and the specific health and safety requirements, we require that the entire system ‚Äî chambers and their components (vibration table, shakers, wind and rain systems) ‚Äî be managed as a single project (design, integration, installation and commissioning). Applicants must comply with the University of Sheffield Health and Safety Policy," site working conditions and the specific Health and Safety requirements of the project.	1330/203/YE	SUPPLIES	38540000	38970000",38000000,51200000,38540000,38542000,38500000,38900000,51430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supply of Needle Exchange Products.	The supply of needle exchange related products", including syringes/needles and ParaphernaliaThe supply of needle exchange related products," including syringes/needles and Paraphernalia	BFDMDC-9UQJ-QUALES	SUPPLIES	33141320	33140000",33141123,44174000,33141310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hampshire County Council Hard Facilities Management Services.	Hampshire County Council (HCC) currently have 3 Term Maintenance Contracts (TMC) covering the provision of ‚ÄòHard‚Äô Facilities Management Services (Hard FM) across the county for their Corporate Estate and other key partner organisations. These TMC are due to expire during 2017 and as part of the future planning of our next generation of services we are publishing this Prior Information Notice (PIN) is to notify suppliers of a Supplier Early Engagement event to consider/discuss the viability of the proposed new FM arrangements.Hard FM for the purposes of this PIN includes:‚Äî Statutory compliance;‚Äî Building and engineering servicing and reactive maintenance;‚Äî Building fabric reactive repairs.The Supplier Early Engagement event will be held at Falcon House", Monarch Way, Winchester, SO22 5PL on 6.1.2016 from 13:00 to 17:00 hrs.If interested in attending please email: procurement.partners@hants.gov.uk by 24.12.2015. Please note limited spaces available.The proposed approach is to separate the building/engineering services maintenance and repair function from the building fabric repair function as currently provided and replace with 4 different providers.e.g.‚Äî Building/engineering services maintenance and repair TMC North Hampshire;‚Äî Building fabric repair TMC North Hampshire;‚Äî Building/engineering services maintenance and repair TMC South Hampshire;‚Äî Building fabric repair TMC South Hampshire.Further information," plus the proposed agenda for the Supplier Early Engagement event will be provided on confirmation of attendance.		SERVICES	50700000	45261900",45450000,50800000,50531100,50883000,50531200,45210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MRI Service Solution.	The purpose of this tender exercise is to select a service provider whose delivery of a MRI Service Solution at the Rochdale Infirmary site of The Pennine Acute Hospitals NHS Trust will represent value for money", high-quality service combined with the ability to identify and implement service efficiencies.The Trust currently spends in the region of 290 000 GBP excluding VAT per annum to provide a MRI Service Solution at Rochdale Infirmary and intends to award a contract for a period of 3 years with an option to extend for a further 2 12-month periods.The contract has not been split into Lots on commercial," operational and contract management grounds.	T15/08/RW6 (Due North DN80099)	SERVICES	85150000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industrial Centres of Excellence ‚Äì Advanced Skills.	In February 2015 The University of Bradford and Jay Consulting produced a scoping study that provides recommendations on the future areas of development for the Industrial Centres of Excellence (ICE) Programme.Based on the recommendations of the scoping study Bradford Council will allocate up to 300 000 GBP in total for a 2 year period from September 2015 to develop higher skills pathways within each of the 4 existing ICEs.In February 2015 The University of Bradford and Jay Consulting produced a scoping study that provides recommendations on the future areas of development for the Industrial Centres of Excellence (ICE) Programme.Based on the recommendations of the scoping study Bradford Council will allocate up to 300 000 GBP in total for a 2 year period from September 2015 to develop higher skills pathways within each of the four existing ICEs.	BFDMDC-A2NE-Y648MS	SERVICES	80000000	80310000",80210000,80211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagship Restaurant Restaurateur at the Wish Tower, Eastbourne," East Sussex - Voluntary Notice.	Eastbourne Borough Council is investing in the creation of a flagship restaurant in a central location with stunning views of Beachy Head at the prime location adjacent to the listed Wish Tower. It is seeking Expressions of Interest to be the restaurateur of this unique opportunity. Key objectives include: to provide a new destination", primarily to increase the evening economy and to act as a footfall driver for the seafront to build on the Council's ambitious plans for the Town‚Äôs economic regeneration; provide a landmark building design in the unique location making best use of views over the sea to the south east and towards Be; benefit from the outstanding landscaping, sympathetic to its surrounding location and being adjacent to the Wish Tower. To be sensitive to the Wish Tower in scale and appearance; Integrate into the design where possible the link between the close proximity of the new Devonshire Park development and the historic link with the Redoubt Fortress to the East.The purpose of this stage one is for bidders to provide the Council with their outline proposals. At Stage 2, shortlisted bidders will be invited to submit their detailed proposals. All interested parties must submit an Expression of Interest by 31.3.2016 to: wishtower@focus-consultants.comContact: info@brucegillinghampollard.com for Expression of Interest requirements and submission details and for any queries. These documents can also be obtained at: http://www.myTenders.org/Search/Search_Switch.aspx?ID=166429General clarifications and any additional information, if any," will be published on Contract Finder on a regular basis before the deadline for expressions of interest (www.contractsfinder.gov.uk). The timetable in the documents currently issued will be updated. It is not intended to follow a formal procedure under the Public Contracts Regulations 2015/2006 or Directive 2014/23/EU. This notice is published in the interests of transparency only.			55300000	45212420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Construction works on Structure GP 4.40 Bukureshka bb in Skopje.	Construction works for the construction of structure GP 4.40 Bukureshka bb in Skopje. The amount of works is defined as performance of construction", construction-handicraft, handicraft, installation and other works for the construction of the structure GP 4.40 Bukureshka bb in Skopje defined in the Bill of Quantities for the tendering documentation elaborated by the design bureau ‚ÄòProstor‚Äô DOO Kumanovo.Construction works for the construction of structure GP 4.40 Bukureshka bb in Skopje. The amount of works is defined as performance of construction, construction-handicraft, handicraft," installation and other works for the construction of the structure GP 4.40 Bukureshka bb in Skopje defined in the Bill of Quantities for the tendering documentation elaborated by the design bureau ‚ÄúProstor‚Äù DOO Kumanovo.		WORKS	45211350	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NH1 WS3 New homes Construction (Wales).	LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses", Apartments and multi occupancy dwellings.The form is likely to have consideration of the following:1. The aim of the framework is to provide social landlords and other public sector bodies with a choice of competent contractors/manufacturers, to deliver the service on a local basis;2. SMEs will be actively encouraged to participate, either individually or as part of a consortium or collective bid.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 21 to 40 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low rise Developments of around 20 homes and under.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low rise Developments of around 20 homes and under.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi occupancy dwellings, student accommodation and extra care units. Medium High rise developments up to 100 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi occupancy dwellings," student accommodation and extra care units. Medium High rise developments over 100 units.	NH1WS3W	WORKS	45210000	45211100",45211340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NH1 WS3 New homes Construction (England).	LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses", Apartments and multi occupancy dwellings.The form is likely to have consideration of the following:1. The aim of the framework is to provide social landlords and other public sector bodies with a choice of competent contractors/manufacturers, to deliver the service on a local basis;2. SMEs will be actively encouraged to participate, either individually or as part of a consortium or collective bid.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low rise developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 21 to 40 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 21 to 40 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 21 to 40 unitsLHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 21 to 40 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi occupancy dwellings, student accommodation and extra care units. Medium High rise Developments of up to 100 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi occupancy dwellings," student accommodation and extra care units.. Medium High rise developments of over 100 units.	NH1WS3E	WORKS	45210000	45211100",45211340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NH1 WS3 New homes Construction (London).	LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector", incorporating houses, apartments and multi-occupancy dwellings.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi-occupancy dwellings, student accommodation and extra care units. Medium-High rise developments over 100 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Lot 1 Low Rise Developments of 41 units or more.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Lot 2 Low Rise Developments of 21 to 40 units.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments and multi occupancy dwellings. Lot 3 Low Rise Developments of 20 units or less.LHC seeks to establish a framework agreement in respect of the construction of new homes incorporating off-site systems for the public sector incorporating Houses, Apartments, multi occupancy dwellings, student accommodation and extra care units. Lot 4 London," Medium High rise developments up to 100 units.	NH1WS3LON	WORKS	45210000	45210000",45211100,45211340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply of fresh meat," sausage and cooked sliced meat.	This contract meets the Council‚Äôs requirements in respect of the supply of fresh meat and sausage"," halal meat and cooked sliced meat.Contract with 4 lots:1. Lot 1 ‚Äì Fresh meat;2. Lot 2 ‚Äì Halal meat (non-stunned);3. Lot 3 ‚Äì Halal meat (pre-stunned);4. Lot 4 ‚Äì Cooked sliced meat.Supply of fresh meat (non-Halal).Supply of fresh Halal meat (non-stunned).Supply of fresh Halal meat (pre-stunned).Supply of cooked sliced meat.	A4ZM-E87CH1	SUPPLIES	15000000	15100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torus ‚Äî Trading as Helena Partnership ‚Äî New Build Housing and Site Preparation Framework.	Torus ‚Äî Trading as Helena Partnerships is seeking to establish a 4 year framework agreement to secure suitably experienced and responsible Contractors to provide:i) site preparation services andii) construct new homes with high quality levels", lower construction and associated design costs, utilising a limited range of standard house types.Torus expects to appoint a maximum of 2 Contractors who will manage all of the works obligations through a direct or subcontracted workforce, for whom they will take full operational and performance management responsibility.Contracts will be awarded under the framework agreement on the basis of the criteria set out in the Invitation to Tender documentation, either by way of direct call off or by mini-tender. It is initially anticipated that the Framework will primarily cover land and construction sites owned and/or managed by Torus. The Framework will be available to Torus and other Authorised Users defined at V.1.3)Torus ‚Äî Trading as Helena Partnerships is seeking to establish a framework agreement to secure suitably experienced and responsible Contractors to provide:i) site preparation services andii) construct new homes with high quality levels, lower construction and associated design costs, utilising a limited range of standard house types.Each of the above will be covered by 1 works Framework. There may therefore be occasions when a Contractor will be required to undertake site preparation works only.Torus expects to appoint a maximum of 2 Contractors who will manage all of the works through a direct or subcontracted workforce, for whom they will take full operational and performance management responsibility.Contracts will be awarded under the framework agreement on the basis of the criteria set out in the ITT documentation. Contracts will be awarded under the framework agreement either by way of direct call off or by mini-tender. Torus and other Authorised Users reserve the right to award contracts to a contractor outside the framework. Contracts called off under the framework may continue beyond the 4 year period to coincide with completion of any scheme, or programme of schemes, which commenced during the framework agreement.It is initially anticipated that the Framework will primarily cover land and construction sites owned and/or managed by Torus. However, the Framework will be available to Torus and other Authorised Users falling into the following categories:1. Any Current Torus Member at the date of the Contract Notice;2. Any Future Member of Torus, being a local authority, ALMO or Registered Provider housing landlord organisation (of the type described in the third paragraph of this section) entitled to join and which has applied to and has joined Torus as a member in accordance with the constitutional documents of Torus and in respect of which organisation notice has been given by Torus to the successful economic operators that such organisation is an Authorised User as a member of Torus. Future Torus Members may include consortia, and the members thereof made up of organisations which would themselves individually be entitled to be a future Torus Member and may include any special purpose vehicle (of whatever nature) wholly owned and controlled by the consortia members and would include in those circumstances the consortia members that own and control the special purpose vehicle;3. A Torus Framework Participant ‚Äì being an organisation which is neither a Current Torus Member (as defined at 1. above) nor a Future Member of Torus (as defined at 2. above) will be entitled to use the contracts advertised by the Contract Notice if it owns and/or maintains/manages housing stock or other property in one or more geographical area in the United Kingdom in which it operates and is a local authority i.e. a County, Metropolitan (City)," District or Borough Council or a Unitary Authority in England or Wales or is an Arms Length Management Organisation (or any statutory replacement or successor organisation) managed by such local authority under a management agreement under section 27 of the Housing Act 1985 (or subsequent legislation) or is a Registered Provider under the Housing and Regeneration Act 2008 (or subsequent legislation) and is itself a Contracting Authority for the purpose of the Public Contract Regulations 2015 and in respect of which organisation notice has been given by Torus to the economic operators that such organisation is an Authorised User as a Torus Framework Participant . Torus Framework Participants will include consortia and the members thereof made up of organisations which would themselves individually be or entitled to be Torus Framework Participants and may include any special purpose vehicle (of whatever nature) wholly owned and controlled by the consortia members and would include in those circumstances the consortia members that own and control the special purpose vehicle.		WORKS	45000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provision of Washroom Services.	Provision of Washroom Services to include washroom dispensers and consumables", sanitary/nappy/sharps collection and disposal and general cleaning products and equipment.Provision of Washroom Services to include washroom dispensers and consumables," sanitary/nappy/sharps collection and disposal and general cleaning products and equipment.		SUPPLIES	39712300	39831700",33761000,39800000,42968300,39811110,42968000,39830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicinal Products Dynamic Purchasing System (131864).	A Dynamic Purchasing System (DPS) for the procurement of medicinal products. The DPS may also be used to procure a limited number of presentations which may be classified as medical devices (e.g. non-medicated creams", gels, liquids, powders).A Dynamic Purchasing System (DPS) for the procurement of medicinal products and a limited number of presentations which may be classified as medical devices (e.g. non-medicated creams, gels, liquids, powders).The Medicinal Products DPS is established for the purpose of awarding contracts for the use by the following ‚ÄòParticipating Bodies‚Äô:i. Belfast Health and Social Care Trust (BHSCT);ii. South Eastern Health and Social Care Trust (SEHSCT);iii. Northern Health and Social Care Trust (NHSCT);iv. Southern Health and Social Care Trust (SHSCT);v. Western Health and Social Care Trust (WHSCT);vi. Northern Ireland Ambulance Service (NIAS);vii. Northern Ireland Blood Transfusion Service (NIBTS);viii. Business Services Organisation (BSO);ix. Public Health Agency (PHA);x. Department of Health, Social Services and Public Safety," Northern Ireland (DHSSPSNI).	131864	SUPPLIES	33600000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurance"," exclusive of Insurance Broking or Claims Management Services.Environmental Liability.Group Personal Accident and TravelCrime.Marine Liability and Hull.Combined Liability.Official Indemnity Insurance.Commercial Combined.		SERVICES	66510000	66515411",66515200,66516500,66512000,66514120,66516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Supply of Highway Signs and Street Nameplates.	CORMAC Solutions wishes to select the most suitable suppliers able to supply highway signs and street nameplates. The proposal is for the Framework Agreement to be apportioned between 3 separate lots", as follows:‚Äî Lot 1 ‚Äî Highway Signs for CORMAC Solutions (Cornwall);‚Äî Lot 2 ‚Äî Highway Signs for Nottinghamshire joint venture company (Nottinghamshire) and;‚Äî Lot 3 ‚Äî Street Nameplates for CORMAC Solutions (Cornwall).Potential suppliers must be able to demonstrate that they are able to supply highway signs and/or street nameplates at the costs, quality, quantity and specification that CORMAC Solutions and the Nottinghamshire joint venture company require, and to promote the best possible standards within a supplier and customer relationship. The intention is for each lot to be awarded to a single supplier. Appointed suppliers will be required to commit to a rebate structure. This is explained in more detail in the ITT document.CORMAC Solutions wishes to select the most suitable supplier able to supply permanent highway signs. Potential suppliers must be able to demonstrate that they are able to supply highway signs at the costs, quality, quantity and specification that CORMAC Solutions requires, and to promote the best possible standards within a supplier and customer relationship.Highway sign manufacture is a technical and specialist function. Compliance with the legal and statutory requirements defined in The Traffic Signs Regulations and General Directions 2002 is mandatory. Potential bidders will need to demonstrate their knowledge, capability and provide evidence of their experience for manufacturing and supplying this product range to the highways construction/maintenance industry. This will include certification to The National Highways Sector Scheme 9A for the Design, Assembly and/or Provision of Permanent and Temporary Road Traffic Signs.The intention is to award this lot to a single supplier.In April 2016, Cornwall Council (CORMAC Solutions) and Nottinghamshire County Council will enter into a new joint venture company for the delivery of highway related services in Nottinghamshire. The new company will be completely within public sector ownership.CORMAC Solutions wishes to select the most suitable supplier able to supply permanent highway signs. Potential suppliers must be able to demonstrate that they are able to supply highway signs at the costs, quality, quantity and specification that CORMAC Solutions requires, and to promote the best possible standards within a supplier and customer relationship.Highway sign manufacture is a technical and specialist function. Compliance with the legal and statutory requirements defined in The Traffic Signs Regulations and General Directions 2002 is mandatory. Potential bidders will need to demonstrate their knowledge, capability and provide evidence of their experience for manufacturing and supplying this product range to the highways construction/maintenance industry. This will include certification to The National Highways Sector Scheme 9A for the Design, Assembly and/or Provision of Permanent and Temporary Road Traffic Signs.The intention is to award this lot to a single supplier.CORMAC Solutions wishes to select the most suitable supplier able to supply street nameplates. Potential suppliers must be able to demonstrate that they are able to supply street nameplates at the costs, quality, quantity and specification CORMAC Solutions requires," and to promote the best possible standards within a supplier and customer relationship.The intention is for this lot to be awarded to a single supplier.	CSL2015.02F	SUPPLIES	34992200	34992300",44423450,34928470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing Related Support ‚Äî accommodation based support and floating support.	Housing Related Support ‚Äî accommodation based support and floating support:Support for a range of client groups with specific needs including alcohol or substance abuse", BME specialisation, mental health, offender history, older people, single people, single homelessness, homeless families, victims of domestic abuse, young people and young people leaving care.Lotting is anticipated; the final lots published at tender stage may change.‚Äî Accommodation based support and floating support for people experiencing domestic abuse;‚Äî Accommodation based support for women and children experiencing domestic abuse;‚Äî Floating support for people experiencing domestic abuse.‚Äî Accommodation based support for young people;‚Äî Clients will be vulnerable;‚Äî Education and training must be encouraged and enabled.‚Äî Floating support for young people;‚Äî Clients will be vulnerable with complex needs. Education and training must be encouraged and enabled;‚Äî Life skills will become an inherent focus.Floating support for single people and families:Clients will be vulnerable with complex needs. Life skills will become an inherent focus. Other services, such as parenting skills, must be pro-actively sign-posted using robust pathway referrals.Lot Floating support for older people:Clients are supported to maintain independent living and to promote socialisation to reduce loneliness and isolation.Floating support for people with mental health needs:‚Äî Clients will be vulnerable with complex needs;‚Äî Intense support will facilitate well being and recovery;‚Äî Clients will be pro-actively sign-posted using robust referral pathways to other specialist services.Floating support for general multiple needs:A range on interventions to improve independence and well being for single homeless people, homeless families and people at risk of homelessness.Accommodation based support for people with multiple complex needs for example with a propensity to exhibit chaotic behaviour which can come with risks.Support services based in a residential-type and not in dormitory-type environment," for people with offender history. This service must deliver immediate wrap around support and liaison with probation related services and will ultimately lead to a less intense floating support.	A54Q-DNYE27	SERVICES	85310000	85311100",85322000,85100000,85312510,85312310,85312400,85312500,85312300,85312000,85311300,85311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
